entry_number,pdf_link,image_link,team,timeattack_rank,total_time,run_time,gimmick_bonus
1_1,assets/slides/bumon_seigenmuseigen/1_1.pdf,assets/images/bumon_seigenmuseigen/1_1.webp,小林 正尚 ,0,0,0,0
1_2,assets/slides/bumon_seigenmuseigen/1_2.pdf,assets/images/bumon_seigenmuseigen/1_2.webp,ユキオ暴風隊,0,0,0,0
1_3,assets/slides/bumon_seigenmuseigen/1_3.pdf,assets/images/bumon_seigenmuseigen/1_3.webp,丸岡 龍也,0,0,0,0
1_4,assets/slides/bumon_seigenmuseigen/1_4.pdf,assets/images/bumon_seigenmuseigen/1_4.webp,尹 澤青,0,0,0,0
1_5,assets/slides/bumon_seigenmuseigen/1_5.pdf,assets/images/bumon_seigenmuseigen/1_5.webp,金山 亘,0,0,0,0
1_6,assets/slides/bumon_seigenmuseigen/1_6.pdf,assets/images/bumon_seigenmuseigen/1_6.webp,緒方 和良,0,0,0,0
1_7,assets/slides/bumon_seigenmuseigen/1_7.pdf,assets/images/bumon_seigenmuseigen/1_7.webp,山内 葵,0,0,0,0
1_8,assets/slides/bumon_seigenmuseigen/1_8.pdf,assets/images/bumon_seigenmuseigen/1_8.webp,岩切 直也,0,0,0,0
1_9,assets/slides/bumon_seigenmuseigen/1_9.pdf,assets/images/bumon_seigenmuseigen/1_9.webp,新上 祐希,0,0,0,0
1_10,assets/slides/bumon_seigenmuseigen/1_10.pdf,assets/images/bumon_seigenmuseigen/1_10.webp,廣濱 芳之,0,0,0,0
1_11,assets/slides/bumon_seigenmuseigen/1_11.pdf,assets/images/bumon_seigenmuseigen/1_11.webp,久世 伸二郎,0,0,0,0
1_12,assets/slides/bumon_seigenmuseigen/1_12.pdf,assets/images/bumon_seigenmuseigen/1_12.webp,長井 伊岐,0,0,0,0
1_13,assets/slides/bumon_seigenmuseigen/1_13.pdf,assets/images/bumon_seigenmuseigen/1_13.webp,山下 真央,0,0,0,0
1_14,assets/slides/bumon_seigenmuseigen/1_14.pdf,assets/images/bumon_seigenmuseigen/1_14.webp,福留 秀樹,0,0,0,0
1_15,assets/slides/bumon_seigenmuseigen/1_15.pdf,assets/images/bumon_seigenmuseigen/1_15.webp,青木 進,0,0,0,0
