entry_number,pdf_link,image_link,team,timeattack_rank,total_time,run_time,gimmick_bonus
201,assets/slides/bumon_seigen_museigen/201.pdf,assets/images/bumon_seigen_museigen/201.webp,走れ！ポンコツ自動運転！,13,-,-,-
203,assets/slides/bumon_seigen_museigen/203.pdf,assets/images/bumon_seigen_museigen/203.webp,Chu～TURNs,7,31.9,41.9,-10
206,assets/slides/bumon_seigen_museigen/206.pdf,assets/images/bumon_seigen_museigen/206.webp,狂走！珍獣チーム,2,2.5,32.5,-30
207,assets/slides/bumon_seigen_museigen/207.pdf,assets/images/bumon_seigen_museigen/207.webp,東富士支部_水素基盤開発部　,6,28.2,31.2,-3
210,assets/slides/bumon_seigen_museigen/210.pdf,assets/images/bumon_seigen_museigen/210.webp,茶人,8,36,51,-15
211,assets/slides/bumon_seigen_museigen/211.pdf,assets/images/bumon_seigen_museigen/211.webp,MT-プロジェクトA,11,84.6,85.6,-1
216,assets/slides/bumon_seigen_museigen/216.pdf,assets/images/bumon_seigen_museigen/216.webp,Makers Disco,4,21.2,51.2,-30
217,assets/slides/bumon_seigen_museigen/217.pdf,assets/images/bumon_seigen_museigen/217.webp,F3_Pixel_F,1,0.9,30.9,-30
218,assets/slides/bumon_seigen_museigen/218.pdf,assets/images/bumon_seigen_museigen/218.webp,豊西レーサーズ,3,4.8,34.8,-30
219,assets/slides/bumon_seigen_museigen/219.pdf,assets/images/bumon_seigen_museigen/219.webp,海陽学園C,10,38.9,49.9,-11
220,assets/slides/bumon_seigen_museigen/220.pdf,assets/images/bumon_seigen_museigen/220.webp,AI自動運転ラジコンカー愛好会,5,23.5,48.5,-25
221,assets/slides/bumon_seigen_museigen/221.pdf,assets/images/bumon_seigen_museigen/221.webp,FaBo SPEEDNAUTS,13,-,-,-
222,assets/slides/bumon_seigen_museigen/222.pdf,assets/images/bumon_seigen_museigen/222.webp,D-Racing,13,-,-,-
223,assets/slides/bumon_seigen_museigen/223.pdf,assets/images/bumon_seigen_museigen/223.webp,刈谷工科高校　IT工学科,9,37.6,43.6,-6
225,assets/slides/bumon_seigen_museigen/225.pdf,assets/images/bumon_seigen_museigen/225.webp,TatamiRacer,12,91.7,95.7,-4
226,assets/slides/bumon_seigen_museigen/226.pdf,assets/images/bumon_seigen_museigen/226.webp,KAIT AI Racing,ゲスト,-,-,-
227,assets/slides/bumon_seigen_museigen/227.pdf,assets/images/bumon_seigen_museigen/227.webp,会津大学,ゲスト,-,-,-
228,assets/slides/bumon_seigen_museigen/228.pdf,assets/images/bumon_seigen_museigen/228.webp,4M-DXteam,ゲスト,-,-,-
229,assets/slides/bumon_seigen_museigen/229.pdf,assets/images/bumon_seigen_museigen/229.webp,名城大学　目黒研究室,ゲスト,-,-,-
230,assets/slides/bumon_seigen_museigen/230.pdf,assets/images/bumon_seigen_museigen/230.webp,FaBo,ゲスト,-,-,-
231,assets/slides/bumon_seigen_museigen/231.pdf,assets/images/bumon_seigen_museigen/231.webp,ビーストーン（B-Stone）,ゲスト,-,-,-
232,assets/slides/bumon_seigen_museigen/232.pdf,assets/images/bumon_seigen_museigen/232.webp,大炎上リベンジ (SUBARU) (英語： big Backlash Revenge),ゲスト,-,-,-
233,assets/slides/bumon_seigen_museigen/233.pdf,assets/images/bumon_seigen_museigen/233.webp,ダイハツ＃２,ゲスト,-,-,-
